Index;Date[UTC];Time[UTC];DvLIR-SN;MeterNumber;1.8.0[kWh];1.8.1[kWh];1.8.2[kWh];2.8.0[kWh];2.8.1[kWh];2.8.2[kWh];CurrentPower[W];Status
257;25.02.2024;23:45:00;000001;11121956;3542,8859;3542,8859;0,0000;49,8574;49,8574;0,0000;196;
258;25.02.2024;23:30:00;000001;11121956;3542,8496;3542,8496;0,0000;49,8574;49,8574;0,0000;134;
259;25.02.2024;23:15:00;000001;11121956;3542,8158;3542,8158;0,0000;49,8574;49,8574;0,0000;146;
260;25.02.2024;23:00:00;000001;11121956;3542,7738;3542,7738;0,0000;49,8574;49,8574;0,0000;175;
261;25.02.2024;22:45:00;000001;11121956;3542,7346;3542,7346;0,0000;49,8574;49,8574;0,0000;146;
262;25.02.2024;22:30:00;000001;11121956;3542,6997;3542,6997;0,0000;49,8574;49,8574;0,0000;183;
263;25.02.2024;22:15:00;000001;11121956;3542,6594;3542,6594;0,0000;49,8574;49,8574;0,0000;136;
264;25.02.2024;22:00:00;000001;11121956;3542,6255;3542,6255;0,0000;49,8574;49,8574;0,0000;135;
265;25.02.2024;21:45:00;000001;11121956;3542,5917;3542,5917;0,0000;49,8574;49,8574;0,0000;135;
266;25.02.2024;21:30:00;000001;11121956;3542,5570;3542,5570;0,0000;49,8574;49,8574;0,0000;137;
267;25.02.2024;21:15:00;000001;11121956;3542,5231;3542,5231;0,0000;49,8574;49,8574;0,0000;136;
268;25.02.2024;21:00:00;000001;11121956;3542,4808;3542,4808;0,0000;49,8574;49,8574;0,0000;172;
269;25.02.2024;20:45:00;000001;11121956;3542,4364;3542,4364;0,0000;49,8574;49,8574;0,0000;179;
270;25.02.2024;20:30:00;000001;11121956;3542,3993;3542,3993;0,0000;49,8574;49,8574;0,0000;137;
271;25.02.2024;20:15:00;000001;11121956;3542,3637;3542,3637;0,0000;49,8574;49,8574;0,0000;144;
272;25.02.2024;20:00:00;000001;11121956;3542,3282;3542,3282;0,0000;49,8574;49,8574;0,0000;140;
273;25.02.2024;19:45:00;000001;11121956;3542,2830;3542,2830;0,0000;49,8574;49,8574;0,0000;212;
274;25.02.2024;19:30:00;000001;11121956;3542,2216;3542,2216;0,0000;49,8574;49,8574;0,0000;235;
275;25.02.2024;19:15:00;000001;11121956;3542,1522;3542,1522;0,0000;49,8574;49,8574;0,0000;523;
276;25.02.2024;19:00:00;000001;11121956;3542,0943;3542,0943;0,0000;49,8574;49,8574;0,0000;110;
277;25.02.2024;18:45:00;000001;11121956;3542,0675;3542,0675;0,0000;49,8574;49,8574;0,0000;72;
278;25.02.2024;18:30:00;000001;11121956;3542,0459;3542,0459;0,0000;49,8574;49,8574;0,0000;117;
279;25.02.2024;18:15:00;000001;11121956;3542,0247;3542,0247;0,0000;49,8574;49,8574;0,0000;73;
280;25.02.2024;18:00:00;000001;11121956;3542,0065;3542,0065;0,0000;49,8574;49,8574;0,0000;72;
281;25.02.2024;17:45:00;000001;11121956;3541,9884;3541,9884;0,0000;49,8574;49,8574;0,0000;73;
282;25.02.2024;17:30:00;000001;11121956;3541,9703;3541,9703;0,0000;49,8574;49,8574;0,0000;72;
283;25.02.2024;17:15:00;000001;11121956;3541,9509;3541,9509;0,0000;49,8574;49,8574;0,0000;72;
284;25.02.2024;17:00:00;000001;11121956;3541,9254;3541,9254;0,0000;49,8574;49,8574;0,0000;108;
285;25.02.2024;16:45:00;000001;11121956;3541,8989;3541,8989;0,0000;49,8574;49,8574;0,0000;102;
286;25.02.2024;16:30:00;000001;11121956;3541,8790;3541,8790;0,0000;49,8574;49,8574;0,0000;62;
287;25.02.2024;16:15:00;000001;11121956;3541,8613;3541,8613;0,0000;49,8574;49,8574;0,0000;126;
288;25.02.2024;16:00:00;000001;11121956;3541,8296;3541,8296;0,0000;49,8574;49,8574;0,0000;127;
289;25.02.2024;15:45:00;000001;11121956;3541,7926;3541,7926;0,0000;49,8574;49,8574;0,0000;123;
290;25.02.2024;15:30:00;000001;11121956;3541,7613;3541,7613;0,0000;49,8574;49,8574;0,0000;131;
